id,name,email,amount,sent,date
1,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:27.019478
2,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:27.680583
3,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:28.225770
4,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:28.634968
5,UmutKose,asd@asd.org,1235,No,2021-08-26 16:04:28.947698
6,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:29.195328
7,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:31.255238
8,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:32.087887
9,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:40.511637
10,Umut,asd@asd.org,1235,Yes,2021-08-26 16:04:50.522350
11,Umut,asd@asd.org,1235,Yes,2021-08-26 16:06:12.429219
12,Umut,asd@asd.org,1235,Yes,2021-08-26 16:07:31.459003
13,Umut,asd@asd.org,1235,Yes,2021-08-26 16:10:27.811606
14,Umut,asd@asd.org,1235,Yes,2021-08-26 16:10:30.299830
15,Umut,asd@asd.org,1235,Yes,2021-08-26 16:10:31.230504
16,Umut,asd@asd.org,1235,Yes,2021-08-26 16:10:31.800298
17,Umut,asd@asd.org,1235,Yes,2021-08-26 16:10:32.267050
18,Umut,asd@asd.org,1235,Yes,2021-08-26 16:11:02.870862
19,Umut,asd@asd.org,1235,Yes,2021-08-26 16:13:19.922369
20,Umut,asd@asd.org,1235,Yes,2021-08-26 16:13:53.323601
21,Umut,asd@asd.org,1235,Yes,2021-08-26 16:14:07.970614
22,Umut,asd@asd.org,1235,Yes,2021-08-26 16:17:30.656961
23,Umut,asd@asd.org,1235,Yes,2021-08-26 17:38:03.069533
24,Umut,asd@asd.org,1235,Yes,2021-08-26 17:38:23.916134
25,Umut,asd@asd.org,1235,Yes,2021-08-26 17:38:41.867992
26,Umut,asd@asd.org,123,,2021-08-26 17:39:11.005197
27,Umut,asd@asd.org,123,,2021-08-26 17:47:06.939682
28,Umut,asd@asd.org,123,,2021-08-26 17:47:14.907077
29,Umut,asd@asd.org,123,,2021-08-26 17:47:35.930589
30,Umut,asd@asd.org,123,,2021-08-26 17:47:36.975136
31,Umut,asd@asd.org,123,,2021-08-26 17:48:33.677042
32,Umut,asd@asd.org,123,,2021-08-26 17:48:42.989681
33,Umut,asd@asd.org,123,,2021-08-26 17:49:28.144654
34,Umut,asd@asd.org,123,,2021-08-26 17:49:44.127919
